sample	time	resource	inoculum	replicate.id
S_00475	Day_005	Medium-C	Water	7
S_00476	Day_005	Medium-C	Water	8
S_00477	Day_005	Medium-C	Soil	5
S_00478	Day_005	Medium-C	Soil	6
S_00479	Day_005	Medium-C	Soil	7
S_00480	Day_005	Medium-C	Soil	8
S_00489	Day_006	Medium-A	Water	1
S_00490	Day_006	Medium-A	Water	2
S_00491	Day_006	Medium-A	Water	3
S_00492	Day_006	Medium-A	Water	4
S_00493	Day_006	Medium-A	Soil	1
S_00494	Day_006	Medium-A	Soil	2
S_00495	Day_006	Medium-A	Soil	3
S_00496	Day_006	Medium-A	Soil	4
S_00505	Day_006	Medium-A	Water	5
S_00506	Day_006	Medium-A	Water	6
S_00507	Day_006	Medium-A	Water	7
S_00508	Day_006	Medium-A	Water	8
S_00509	Day_006	Medium-A	Soil	5
S_00510	Day_006	Medium-A	Soil	6
S_00511	Day_006	Medium-A	Soil	7
S_00512	Day_006	Medium-A	Soil	8
S_00521	Day_006	Medium-B	Water	1
S_00522	Day_006	Medium-B	Water	2
S_00523	Day_006	Medium-B	Water	3
S_00524	Day_006	Medium-B	Water	4
S_00525	Day_006	Medium-B	Soil	1
S_00526	Day_006	Medium-B	Soil	2
S_00527	Day_006	Medium-B	Soil	3
S_00528	Day_006	Medium-B	Soil	4
S_00537	Day_006	Medium-B	Water	5
S_00538	Day_006	Medium-B	Water	6
S_00539	Day_006	Medium-B	Water	7
S_00540	Day_006	Medium-B	Water	8
S_00541	Day_006	Medium-B	Soil	5
S_00542	Day_006	Medium-B	Soil	6
S_00543	Day_006	Medium-B	Soil	7
S_00544	Day_006	Medium-B	Soil	8
S_00553	Day_006	Medium-C	Water	1
S_00554	Day_006	Medium-C	Water	2
S_00555	Day_006	Medium-C	Water	3
S_00556	Day_006	Medium-C	Water	4
S_00557	Day_006	Medium-C	Soil	1
S_00558	Day_006	Medium-C	Soil	2
S_00559	Day_006	Medium-C	Soil	3
S_00560	Day_006	Medium-C	Soil	4
S_00569	Day_006	Medium-C	Water	5
S_00570	Day_006	Medium-C	Water	6
S_00571	Day_006	Medium-C	Water	7
S_00572	Day_006	Medium-C	Water	8
S_00573	Day_006	Medium-C	Soil	5
S_00574	Day_006	Medium-C	Soil	6
S_00575	Day_006	Medium-C	Soil	7
S_00576	Day_006	Medium-C	Soil	8
S_00585	Day_007	Medium-A	Water	1
S_00586	Day_007	Medium-A	Water	2
S_00587	Day_007	Medium-A	Water	3
S_00588	Day_007	Medium-A	Water	4
S_00589	Day_007	Medium-A	Soil	1
S_00590	Day_007	Medium-A	Soil	2
S_00591	Day_007	Medium-A	Soil	3
S_00592	Day_007	Medium-A	Soil	4
S_00601	Day_007	Medium-A	Water	5
S_00602	Day_007	Medium-A	Water	6
S_00603	Day_007	Medium-A	Water	7
S_00604	Day_007	Medium-A	Water	8
S_00605	Day_007	Medium-A	Soil	5
S_00606	Day_007	Medium-A	Soil	6
S_00607	Day_007	Medium-A	Soil	7
S_00608	Day_007	Medium-A	Soil	8
S_00617	Day_007	Medium-B	Water	1
S_00618	Day_007	Medium-B	Water	2
S_00619	Day_007	Medium-B	Water	3
S_00620	Day_007	Medium-B	Water	4
S_00621	Day_007	Medium-B	Soil	1
S_00622	Day_007	Medium-B	Soil	2
S_00623	Day_007	Medium-B	Soil	3
S_00624	Day_007	Medium-B	Soil	4
S_00633	Day_007	Medium-B	Water	5
S_00634	Day_007	Medium-B	Water	6
S_00635	Day_007	Medium-B	Water	7
S_00636	Day_007	Medium-B	Water	8
S_00637	Day_007	Medium-B	Soil	5
S_00638	Day_007	Medium-B	Soil	6
S_00639	Day_007	Medium-B	Soil	7
S_00640	Day_007	Medium-B	Soil	8
S_00649	Day_007	Medium-C	Water	1
S_00650	Day_007	Medium-C	Water	2
S_00651	Day_007	Medium-C	Water	3
S_00652	Day_007	Medium-C	Water	4
S_00653	Day_007	Medium-C	Soil	1
S_00654	Day_007	Medium-C	Soil	2
S_00655	Day_007	Medium-C	Soil	3
S_00656	Day_007	Medium-C	Soil	4
S_00665	Day_007	Medium-C	Water	5
S_00666	Day_007	Medium-C	Water	6
S_00667	Day_007	Medium-C	Water	7
S_00668	Day_007	Medium-C	Water	8
S_00669	Day_007	Medium-C	Soil	5
